update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
207,9,3584,256,1.7647091455044621,1.8179194002598267
208,9,3840,256,1.7852379190570575,1.8159891226796898
209,9,4096,256,1.7620628942677743,1.8140191020814587
210,9,4352,256,1.801814883352509,1.8120758619950637
211,9,4608,256,1.7869209871332072,1.8100516168669731
212,9,4864,256,1.7665588926586868,1.8080714022264737
213,9,5120,256,1.7796766365245924,1.806097482469272
214,9,5376,256,1.7743474888343056,1.8041469529398528
215,9,5632,256,1.764521773311937,1.8021577468546026
216,9,5888,6,1.8046413153967793,1.8021085118129152
217,10,0,256,1.7581528776893718,1.8001651499210107
218,10,256,256,1.7342302704600188,1.7981970300187355
219,10,512,256,1.7136277800143656,1.796164935922913
220,10,768,256,1.7740702933695687,1.7942536624585643
221,10,1024,256,1.721611788628809,1.7922064919067011
222,10,1280,256,1.7420715861126477,1.7902965506050368
223,10,1536,256,1.7451646278954662,1.7883305965772054
224,10,1792,256,1.7142646087121154,1.7863568800206688
225,10,2048,256,1.7396813010149441,1.7843810964256153
226,10,2304,256,1.7152581321427833,1.7824389858259444
227,10,2560,256,1.7536141001316086,1.7804836691401444
228,10,2816,256,1.7183230060333798,1.7785723266991642
229,10,3072,256,1.7778277475837874,1.7766743465018164
230,10,3328,256,1.7538491576287276,1.7749016559980382
231,10,3584,256,1.7324004050365227,1.772979327246824
232,10,3840,256,1.7126543115078516,1.7711407012733076
233,10,4096,256,1.7582964389456444,1.7692949166229102
234,10,4352,256,1.7406287641997704,1.7674688671625092
235,10,4608,256,1.7066021266664542,1.7655976948965346
236,10,4864,256,1.7556781253957747,1.7638068753817968
237,10,5120,256,1.7171787895524602,1.7619480330944415
238,10,5376,256,1.7452291993948041,1.760087979437835
239,10,5632,256,1.7322779350060764,1.7583003112151612
240,10,5888,6,1.6969849818805411,1.7582520203038687
241,11,0,256,1.6684440237757383,1.7564625696754859
242,11,256,256,1.685027269449916,1.75455609395855
243,11,512,256,1.7223521104255455,1.752742841263784
244,11,768,256,1.713977936383689,1.7509588744434004
245,11,1024,256,1.6856624806599996,1.7492811531023897
246,11,1280,256,1.7181872891277585,1.7474760176535216
247,11,1536,256,1.6874510820526085,1.7457427740604603
248,11,1792,256,1.6892043005356054,1.743888358820103
249,11,2048,256,1.6928894524185876,1.7420343041933581
250,11,2304,256,1.7051201639142164,1.74014493087553
251,11,2560,256,1.7076767441812422,1.7383201632193859
252,11,2816,256,1.70797827030497,1.7366450610949389
253,11,3072,256,1.6863157924597174,1.734817837293016
254,11,3328,256,1.669475840941156,1.7329264293176683
255,11,3584,256,1.6930107362720155,1.731109951139242
256,11,3840,256,1.698392163674249,1.7293612427839982
257,11,4096,256,1.6898940767741168,1.7275844418830526
258,11,4352,256,1.678464861063082,1.7257800160813443
259,11,4608,256,1.671752014707776,1.723958026410383
260,11,4864,256,1.671380778492194,1.7221604898046863
261,11,5120,256,1.70130361628008,1.7204784917211804
262,11,5376,256,1.6844550339881876,1.7186591842580379
263,11,5632,256,1.681796543239828,1.7168895522182372
264,11,5888,6,1.6830680173378527,1.7168437821828797
265,12,0,256,1.6721697775108288,1.7151110450335387
266,12,256,256,1.6257676554423433,1.7133386023094772
267,12,512,256,1.623552927342026,1.7115209189374432
268,12,768,256,1.6490944069999145,1.7098838208543694
269,12,1024,256,1.6736165399288645,1.7081911238164913
270,12,1280,256,1.6529340625716094,1.7064646403659485
271,12,1536,256,1.6340837622052282,1.704679306182708
272,12,1792,256,1.6463799307493143,1.703026514386052
273,12,2048,256,1.6531030330211078,1.7013354062290795
274,12,2304,256,1.6530659097374714,1.69967236094468
275,12,2560,256,1.685912861414572,1.6980263090625156
276,12,2816,256,1.6682540674164825,1.6963414730518664
277,12,3072,256,1.658739053509218,1.6946711201512596
278,12,3328,256,1.6381529796579266,1.69293127188424
279,12,3584,256,1.6792283646140806,1.6913069431152357
280,12,3840,256,1.6384188719068726,1.6896419952766697
281,12,4096,256,1.6264004096441878,1.6879566357401965
282,12,4352,256,1.643494721068841,1.6862573177350881
283,12,4608,256,1.63954794231663,1.6845662537617352
284,12,4864,256,1.6256388815153522,1.682865569706004
285,12,5120,256,1.6379840093275908,1.6811377553101172
286,12,5376,256,1.6524589517465769,1.6795090692086951
287,12,5632,256,1.6340564361649623,1.6778294418260087
288,12,5888,6,1.7873786121077,1.6777939322402795
289,13,0,256,1.6201934138821614,1.6762442734987064
290,13,256,256,1.596478561137929,1.6745970402910049
291,13,512,256,1.6329607823294325,1.673002368672632
292,13,768,256,1.5887904937103614,1.6713250466218939
293,13,1024,256,1.6194957781966137,1.6696794342959556
294,13,1280,256,1.6123040371494843,1.668014112976814
295,13,1536,256,1.5968751037582583,1.6663581555868072
296,13,1792,256,1.6279912025659995,1.6647953347403763
297,13,2048,256,1.6694157602980844,1.6632326583521568
298,13,2304,256,1.628105857866269,1.6616786828317993
299,13,2560,256,1.6303175635620524,1.6601620224221447
300,13,2816,256,1.6023073499338,1.658559964928945
301,13,3072,256,1.5913307831281172,1.656918077332708
302,13,3328,256,1.5902702389360057,1.6552695826555446
303,13,3584,256,1.5939055798222312,1.6536481953696953
304,13,3840,256,1.6244995935731852,1.6520763291730625
